Study ID,Location ID,location,final_lat,final_long,date_only,AOD_value
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-11-18,364.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-11-19,465.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-11-20,370.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-11-21,370.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-11-22,275.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-11-23,
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-11-24,
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-11-25,
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-11-26,
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-11-27,
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-11-28,
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-11-29,
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-11-30,
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-01,251.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-02,321.5
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-03,321.5
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-04,340.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-05,288.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-06,288.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-07,
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-08,
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-09,355.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-10,355.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-11,355.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-12,
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-13,137.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-14,137.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-15,137.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-16,
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-17,
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-18,
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-19,
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-20,
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-21,285.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-22,285.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-23,285.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-24,
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-25,527.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-26,527.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-27,527.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-28,
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-29,346.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-30,291.5
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2017-12-31,276.3333333333333
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2018-01-01,276.5
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2018-01-02,289.6666666666667
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2018-01-03,311.5
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2018-01-04,293.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2018-01-05,293.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2018-01-06,293.0
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395,2018-01-07,215.0
