Study ID,Location ID,location,final_lat,final_long
MWI094,MWI094_1,Chilipa Health Centre,-14.7028,34.9739
MWI094,MWI094_2,Chipoka Health Centre,-13.9895,34.5156
MWI094,MWI094_3,Kapire Health Centre,-14.7857041,34.9994326
MWI094,MWI094_4,Katema Health Centre,-14.5258287,35.0375358
MWI094,MWI094_5,Katuli Health Centre,-14.1800078,35.4445725
MWI094,MWI094_6,Koche Health Centre,-14.3331596,35.143396
MWI094,MWI094_7,Lifeline Health Centre,-14.0902,34.5448
MWI094,MWI094_8,Lugola Health Centre,-13.962129,35.1414284
MWI094,MWI094_9,Lulanga Health Centre,-13.6871846,34.9173041
MWI094,MWI094_10,Lungwena Health Centre,-14.2451342,35.2484252
MWI094,MWI094_11,Luwalika Health Centre,-14.2379315,35.4694501
MWI094,MWI094_12,Maganga Health Centre,-13.8467839,34.5592111
MWI094,MWI094_13,Makanjira Health Centre,-13.7153,35.0469
MWI094,MWI094_14,Malembo Health Centre,-14.2364,34.8254
MWI094,MWI094_15,Malukula Health Centre,-14.4427,35.3555
MWI094,MWI094_16,Mase Health Centre,-14.5806,35.3639
MWI094,MWI094_17,Mchoka Health Centre,-13.9260913,34.4898215
MWI094,MWI094_18,Monkey Bay Health Centre,-14.085,34.9108
MWI094,MWI094_19,Mpondasi Health Centre,-14.4533,35.2442
MWI094,MWI094_20,Namalaka Health Centre,-14.1239156,35.1930627
MWI094,MWI094_21,Namwera Health Centre,-14.3639861,35.5024494
MWI094,MWI094_22,Nangalamu Health Centre,-14.4681,35.6731
MWI094,MWI094_23,Nankhwali Health Centre,-14.1351,34.84488
MWI094,MWI094_24,Ngodzi Health Centre,-14.0898452,34.511153
MWI094,MWI094_25,Nkope Health Centre,-14.1971,35.0395
MWI094,MWI094_26,Phirilongwe Health Centre,-14.5879012,34.8988154
MWI094,MWI094_27,St Martin Hospital,-14.3472979,35.293978
MWI524,MWI524_1,Queen Elizabeth Central Hospital,-15.8021572,35.0206465
MWI524,MWI524_2,Limbe Health Center,-15.8169469,35.0519846
MWI524,MWI524_3,Ndirande Health Centre,-15.7779982,35.0395757
MWI524,MWI524_4,Bangwe Health Centre,-15.8239623,35.0804385
MWI524,MWI524_5,Chilomoni Health Centre,-15.7709342,34.9819445
ZAF055,ZAF055_1,KwaMhlanga CHC,-25.4364,28.7131
ZAF055,ZAF055_2,Siphosesimbi CHC,-25.8616,29.1242
